location	cabin url	image url	caption	lat	lng	cabin_page_url
Norrsken Dr, Evesham Township, NJ 08053, USA	http://cabinporn.com/image/135122184867	http://40.media.tumblr.com/820da408b3f3c8191379d5b779e8953b/tumblr_nxystlV0yb1qzwmsso1_1280.jpg	Cabin in Jämtland, Norrsjö, Sweden.	39.8401354	-74.8702864	http://cabinporn.com/page/6
Norrsken Dr, Evesham Township, NJ 08053, USA	http://amzn.to/1SUuxck	http://40.media.tumblr.com/df48fd45896868b3b2e9f4f3535e9ac2/tumblr_nz9rkvo9oI1qzwmsso1_1280.jpg	The Cabin Porn Book.	39.8401354	-74.8702864	http://cabinporn.com/page/6
East Beskids, Palota, Slovakia	http://cabinporn.com/image/135054303949	http://40.media.tumblr.com/b2ebfce2b6111145229df5f6fecb6fcf/tumblr_nxypo27wke1qzwmsso1_1280.jpg	Cabin in the Żywiec Beskid Mountains, Poland.	49.25	22	http://cabinporn.com/page/6
North Island	http://cabinporn.com/image/134990475871	http://40.media.tumblr.com/f77e3c5b4c08b34581369d9eabce0996/tumblr_nyltg8X8av1qzwmsso1_1280.jpg	Beach house on Muriwai Beach on the North Island, New Zealand. 	-37.89654609999999	175.6023643	http://cabinporn.com/page/6
Lettenberg, 8487, Switzerland	http://cabinporn.com/image/134927033195	http://41.media.tumblr.com/3b6cebbb4b0854442d11175d9439145b/tumblr_nwxebv7FQa1qzwmsso1_1280.jpg	Cabin in Lettenberg, Switzerland.	47.4489283	8.8384664	http://cabinporn.com/page/6
Reine, Norway	http://cabinporn.com/image/134862741539	http://36.media.tumblr.com/19ff043f90dafe437dfe417aa83838d0/tumblr_nyhy78QMsl1qzwmsso1_1280.jpg	Fishing cabin in Reine, Lofoten Norway.	67.9323866	13.0887329	http://cabinporn.com/page/6
Stockholm, Sweden	http://cabinporn.com/image/134798525311	http://40.media.tumblr.com/05a5da53d5792ce6158c055c2c841636/tumblr_mmwoz2IRdB1qzwmsso1_1280.jpg	Fixer-upper in Stockholm, Sweden.	59.32932349999999	18.0685808	http://cabinporn.com/page/6
Vikafjellet, Snillfjord, Norway	http://cabinporn.com/image/134662606380	http://40.media.tumblr.com/3796b2a46425330941c34267e6a122e8/tumblr_ny7wcn4Pxa1qzwmsso1_1280.jpg	Cabin on Vikafjellet, Norway. 	63.33514199999999	9.2484824	http://cabinporn.com/page/7
Sullivan County, NY, USA	http://cabinporn.com/image/134596286380	http://41.media.tumblr.com/fc4511bbe8022b3c02907a30d6b93d80/tumblr_nyr3pxPlV41qzwmsso1_1280.jpg	A-frame in Sullivan County, New York.	41.6897493	-74.7805192	http://cabinporn.com/page/7
Pelican, AK 99832, USA	http://cabinporn.com/image/134533593078	http://41.media.tumblr.com/e15bb98c51eb4f0c6c46ae287cf2743d/tumblr_nybvpdVBvu1qzwmsso1_1280.jpg	Cabin being relocated on the Lisianski Inlet near Pelican, Alaska.	57.9608333	-136.2275	http://cabinporn.com/page/7
