location	cabin url	image url	caption	cabin_page_url
Nunavut, Canada	http://cabinporn.com/image/105541337735	http://41.media.tumblr.com/73026451233cac4a31565fd7d16b4f38/tumblr_ngnlelM9HS1qzwmsso1_1280.jpg	Hut on Baffin Island in Nunavut, Canada. 	http://cabinporn.com/page/2
Kenora, Ontario, Canada	http://cabinporn.com/image/105450885715	http://36.media.tumblr.com/80410ff7e0f9c0b3a2b685a450eceff2/tumblr_ngnps3106X1qzwmsso1_1280.jpg	Shack near Kenora, Ontario, Canada.	http://cabinporn.com/page/2
Carlita Bay, South Georgia	http://cabinporn.com/image/105286931785	http://40.media.tumblr.com/fb9d242261449b052d7dbaad3efdc361/tumblr_ngl6wp61Kc1qzwmsso1_1280.jpg	Hut on Carlita Bay, South Georgia. 	http://cabinporn.com/page/2
High Tatras, Poland.	http://cabinporn.com/image/105188014745	http://41.media.tumblr.com/2b5d6a1240b9e2e6bec2776716e496ae/tumblr_ngirlbxezg1qzwmsso1_1280.jpg	Stone shelter in Five Ponds Valley, High Tatras, Poland.	http://cabinporn.com/page/2
Vancouver island, British Columbia Canada	http://cabinporn.com/image/105012311690	http://40.media.tumblr.com/c50fc483904dd4abf6e60a689b64590f/tumblr_ngghwrFKuw1qzwmsso1_1280.jpg	Handmade cabin built with recycled insulated freezer panels, on Vancouver island, British Columbia Canada.	http://cabinporn.com/page/2
Playa Santana, Nicaragua	http://cabinporn.com/image/104763720910	http://41.media.tumblr.com/81d46ff4634e90f6314f73bfebd7d3bf/tumblr_ng49kugnnJ1qzwmsso1_1280.jpg	A salvaged barrel home at Playa Santana, Nicaragua.	http://cabinporn.com/page/3
Khuhri, Rajasthan, India	http://cabinporn.com/image/104469028435	http://40.media.tumblr.com/c4d47552c3e34898adbf15ede36db3f4/tumblr_ng55z0MnfF1qzwmsso1_1280.jpg	Shepherd’s hut in Thar Desert south of Khuhri, Rajasthan, India.	http://cabinporn.com/page/3
Mýrum, East Iceland	http://cabinporn.com/image/104411022826	http://40.media.tumblr.com/12c99c4a101671df3575814705d94b59/tumblr_nfs9rwhmbP1qzwmsso1_1280.jpg	A-frame near Mýrum, East Iceland.	http://cabinporn.com/page/3
Mýrum, East Iceland	http://cabinporn.com/image/104329841648	http://40.media.tumblr.com/dab342005407177c726f875e0d509e52/tumblr_nfyw4fpmSB1qzwmsso1_1280.jpg	From reader David Ratzlaff:	http://cabinporn.com/page/3
Valle Spluga, Italy	http://cabinporn.com/image/104243571965	http://40.media.tumblr.com/9e5e68cef758f38928870be0fd9912fb/tumblr_nfv56dDdvF1qzwmsso1_1280.jpg	Stone hut in Valle Spluga, Italy.	http://cabinporn.com/page/3
Squamish, British Columbia.	http://cabinporn.com/image/103462894757	http://36.media.tumblr.com/fe2b28b0fbd85e92460f702770022b07/tumblr_nfi7loemXA1qzwmsso1_1280.jpg	Treehouse built from salvaged materials near Squamish, British Columbia.	http://cabinporn.com/page/3
Ushuaia, Argentina	http://cabinporn.com/image/103300971020	http://40.media.tumblr.com/0ad823abe37e227d802dfcf16bf0e624/tumblr_nfay361K521qzwmsso1_1280.jpg	Ski cabin with red windows in Ushuaia, Argentina.	http://cabinporn.com/page/3
Québec, Canada	http://cabinporn.com/image/103059536195	http://41.media.tumblr.com/e61363c9e4cb25f25656118af6bb6a21/tumblr_nf9pltwC8J1qzwmsso1_1280.jpg	Ice fishing hut on the Saguenay River in Québec, Canada.	http://cabinporn.com/page/3
Sautens, Austria	http://cabinporn.com/image/102461511390	http://41.media.tumblr.com/8ffe4e1502b274f457d90c2919396120/tumblr_newb45Dhg11qzwmsso1_1280.jpg	Chalet near Sautens, Austria.	http://cabinporn.com/page/3
,	http://cabinporn.com/image/102277072894	http://41.media.tumblr.com/e7a30fdcde159e4da1efa86f83b53c37/tumblr_neqjwgTyeR1qzwmsso1_1280.jpg	Dusty blue cabin in progress, located somewhere unknown to us.	http://cabinporn.com/page/4
Gotland, Sweden	http://featuringfeaturing.co.uk	http://40.media.tumblr.com/6d15f41b24127b48160ef48f49f1eb8a/tumblr_ndleneJbx71qzwmsso1_r1_1280.png	Waxed cotton A-frame on the island of Gotland, Sweden.	http://cabinporn.com/page/4
Mount Desert Island, Maine	http://cabinporn.com/image/101931433018	http://41.media.tumblr.com/0e10bfb08116e3097bc78f403d3221bb/tumblr_nebp11sKUA1qzwmsso1_1280.jpg	Log cabin on Mount Desert Island, Maine.	http://cabinporn.com/page/4
Julian Alps, Slovenia	http://cabinporn.com/image/101678699168	http://40.media.tumblr.com/97604e99b7a233cb91f389211d46d003/tumblr_ned5moYz9T1qzwmsso1_1280.jpg	Cabin at 6,798 feet in the Julian Alps, Slovenia. 	http://cabinporn.com/page/4
Lyme, Connecticut	http://cabinporn.com/image/101426550155	http://41.media.tumblr.com/84cff35e2e67f6821e6a4cc2f935ac1e/tumblr_mvqx3vlwAj1qzwmsso1_1280.jpg	12x16-foot cabin built in the 1970s in Lyme, Connecticut. 	http://cabinporn.com/page/4
Tongass National Forest, Alaska.	http://cabinporn.com/image/101008086180	http://40.media.tumblr.com/e41b543d33ceb689d1be6e5dbaa2657a/tumblr_ndtlsrIChr1qzwmsso1_1280.jpg	Green cabin in Tongass National Forest, Alaska.	http://cabinporn.com/page/4
Beaver Brook School,	http://cabinporn.com/image/100594981625	http://41.media.tumblr.com/f5920ea419dee3ad551e4eda718e7e0d/tumblr_ndrph90RQA1qd8hvko1_1280.jpg	Sauna built by the Beaver Brook School, clad with pine boards, coated with pine tar, roofed with steel.	http://cabinporn.com/page/4
Sighisoara, Transylvania, Romania	http://cabinporn.com/image/100088313160	http://40.media.tumblr.com/c06e959d7e8230815bfac45745b6d902/tumblr_ndhxqkRqe01qzwmsso1_1280.jpg	Shepard’s lodge in the Breite Oak Tree Reserve near Sighisoara, Transylvania, Romania.	http://cabinporn.com/page/4
Isle of Eigg, Scotland	http://cabinporn.com/image/99657062915	http://40.media.tumblr.com/805efff06b743fb75982b7dc667628cc/tumblr_ncoif251ze1qzwmsso1_1280.jpg	Art residency space on the Isle of Eigg, Scotland.	http://cabinporn.com/page/5
Transcarpathia, Ukraine	http://cabinporn.com/image/99573672660	http://41.media.tumblr.com/f5ec8ff3da6b403f462a79348c13043a/tumblr_nd50u5wLjn1qzwmsso1_1280.jpg	Abandoned cabin near the village of Zhornava, Transcarpathia, Ukraine.	http://cabinporn.com/page/5
Transcarpathia, Ukraine	http://www.amazon.com/gp/product/B00167XWJM?ie=UTF8&camp=213733&creative=393185&creativeASIN=B00167XWJM&linkCode=shr&tag=zackle-20&linkId=75CM672JM564RQSD	http://40.media.tumblr.com/904c547e84a25a11c5c1e1de02b1c8e7/tumblr_nd41xcZsrT1rhxqjno1_1280.jpg	cabinsupplies:	http://cabinporn.com/page/5
Cederberg Mountains, South Africa	http://cabinporn.com/image/99488025540	http://40.media.tumblr.com/b054d13e6adf337093b3dbdc55a9a370/tumblr_ncn3oyCNDG1qzwmsso1_1280.jpg	Cabin with a butterfly roof in the Cederberg Mountains, South Africa.	http://cabinporn.com/page/5
Ahmic Lake, Ontario	http://cabinporn.com/image/99405109675	http://36.media.tumblr.com/f6f6873f53c2f5e8ed817d1dbc47b844/tumblr_ncq6ffYnXw1qzwmsso1_1280.jpg	Cabin on Ahmic Lake, Ontario.	http://cabinporn.com/page/5
Aspen, CO.	http://cabinporn.com/image/99154006730	http://36.media.tumblr.com/7275488ad3983ec6bd8ea43c315fcdc7/tumblr_ncxn6jRsFz1qzwmsso1_1280.jpg	The Tagert 10th Mountain Ski Hut under the first snow of Fall, near Aspen, CO.	http://cabinporn.com/page/5
Shenandoah National Park, Virginia.	http://cabinporn.com/image/98974736217	http://40.media.tumblr.com/4c03aa3bb799abb4c5e06c9c01029f2f/tumblr_mhz4baOIp51qzwmsso1_1280.jpg	Pocosin Cabin near the Appalachian Trail, Shenandoah National Park, Virginia.	http://cabinporn.com/page/5
Folkestad, Norway	http://cabinporn.com/image/98891448288	http://40.media.tumblr.com/6c291af05ef65324d0e1c25e1dc0d799/tumblr_n2nbt40Ao31qzwmsso1_1280.jpg	Cabin with an earthen roof near Folkestad, Norway.	http://cabinporn.com/page/5
Big Sur, California	http://cabinporn.com/image/98808991966	http://36.media.tumblr.com/f3686646f276f4b3632e716c53b7ff7b/tumblr_nca51uj02F1qzwmsso1_1280.jpg	Cabin in Big Sur, California.	http://cabinporn.com/page/5
Crested Butte, CO	http://cabinporn.com/image/98748829825	http://40.media.tumblr.com/d1b03803a9aca0d5b86e9e9215418318/tumblr_ncok4mNP6J1qzwmsso1_1280.jpg	Lean-to in the hills above Crested Butte, CO. 	http://cabinporn.com/page/6
Velebit, Croatia	http://cabinporn.com/image/98739984090	http://36.media.tumblr.com/d33db5eca08d05ff21c7d88116e0de46/tumblr_ncnm6tAjmm1qzwmsso1_1280.jpg	Shelter in Veliko Rujno Valley, Velebit, Croatia.	http://cabinporn.com/page/6
Abiskojaure, Sweden	http://cabinporn.com/image/98726913530	http://40.media.tumblr.com/a77858a204585f61084746d7eda69e0c/tumblr_ncj1caONf01qzwmsso1_1280.jpg	Shelter near Abiskojaure, Sweden.	http://cabinporn.com/page/6
East Texas	http://cabinporn.com/image/98475268600	http://40.media.tumblr.com/e5a4e56c13e96a3d78af05806aa8e080/tumblr_nchghigViw1qzwmsso1_1280.jpg	Fixer-upper in East Texas.	http://cabinporn.com/page/6
STAY HERE	http://www.candlewoodcabins.com/site/glass_house	http://36.media.tumblr.com/17ca316b225371de6099c40757c6baa2/tumblr_ncetkuzeVd1qzwmsso1_r1_1280.jpg	STAY HERE	http://cabinporn.com/page/6
Canyonville, Oregon	http://cabinporn.com/image/98310048605	http://36.media.tumblr.com/14d7778fd4c8adcfd6cbb33bc714c282/tumblr_naz21lqKV41qzwmsso1_1280.jpg	Cabin built to resemble a fire lookout near Canyonville, Oregon. 	http://cabinporn.com/page/6
Pescadero, CA	http://cabinporn.com/image/98306965525	http://41.media.tumblr.com/2cbc5363f89f2b1932b12e8fbc075a68/tumblr_ncdo5vBSBR1qzwmsso1_1280.jpg	Tent bungalow in Pescadero, CA.	http://cabinporn.com/page/6
Darjeeling, India	http://cabinporn.com/image/98229410771	http://40.media.tumblr.com/d66880f7a618cd4d37c51eee58443da5/tumblr_nc05uxJfAb1qzwmsso1_1280.jpg	Hut made from salvaged materials in Darjeeling, India. 	http://cabinporn.com/page/6
Oulu, Finland. 	http://cabinporn.com/image/98147358362	http://36.media.tumblr.com/43791b8c887f33b19c606742d24a2405/tumblr_nc0dry2mli1qzwmsso1_1280.jpg	Kesän Sauna is a public sauna on Tuira Beach in Oulu, Finland. 	http://cabinporn.com/page/6
South Island, New Zealand	http://cabinporn.com/image/97890615340	http://36.media.tumblr.com/703fd065b2d13daf6ba1d3171afbd4f7/tumblr_mqb2v5N9Hc1qzwmsso1_1280.jpg	Sam Summer’s stone cabin on South Island, New Zealand.	http://cabinporn.com/page/6
South Island, 	http://cabinporn.com/image/97840935115	http://40.media.tumblr.com/e39ff2d3a65645edeab720efd4cdd26e/tumblr_nc3wdgDYQ81qzwmsso1_1280.jpg	Cabin near Arthur’s Pass, South Island, New Zealand.	http://cabinporn.com/page/7
Valdres, Norway	http://cabinporn.com/image/97812417310	http://41.media.tumblr.com/0176b592ed5a2eb7f2664cc9f8730523/tumblr_naxs5oQ26E1qzwmsso1_1280.jpg	Cabin in Valdres, Norway.Contributed by Sturla Opsahl. 	http://cabinporn.com/page/7
Lychen, Germany	http://cabinporn.com/image/97733853839	http://41.media.tumblr.com/617d0829069186822009da8441a4508f/tumblr_nb6hxzYJuh1qzwmsso1_1280.jpg	Rustic river shack in Lychen, Germany.	http://cabinporn.com/page/7
Mont-Lozère, France.	http://cabinporn.com/image/97472249630	http://41.media.tumblr.com/4602110a5c11f2030ed6fb699392fe5c/tumblr_nbm4ljji2j1qzwmsso1_1280.jpg	Cabin under (re)construction on the path of Stevenson (GR70), Mont-Lozère, France.	http://cabinporn.com/page/7
Luleå, Sweden	http://cabinporn.com/image/97303975963	http://36.media.tumblr.com/0baeec1dbb4116734afb6792a53a2221/tumblr_nbkzxeFEYK1qzwmsso1_1280.jpg	Cabin on the archipelago near Luleå, Sweden.	http://cabinporn.com/page/7
Tampinmylly, Finland	http://cabinporn.com/image/97222194775	http://40.media.tumblr.com/f40bcf48b0d5bc5fe2ed9a95bb65752f/tumblr_nbf3vh2BVu1qzwmsso1_1280.jpg	Summer cottage in Tampinmylly, Finland.	http://cabinporn.com/page/7
Antalya, Turkey	http://cabinporn.com/image/97141157742	http://41.media.tumblr.com/adf96865860c0619da79204cfc8818cc/tumblr_nblapyiGNv1qzwmsso1_1280.jpg	Shack in Olympos, near Antalya, Turkey.	http://cabinporn.com/page/8
Atlin, British Columbia	http://cabinporn.com/image/96455935207	http://40.media.tumblr.com/8d8a7251adfe91452125085e4f865ca7/tumblr_naov2uzZDF1qzwmsso1_1280.jpg	Trapper cabin in Atlin, British Columbia.	http://cabinporn.com/page/8
Innsbruck, Austria	http://carmesine.tumblr.com	http://40.media.tumblr.com/cc00806515a0962cd505e9bd8c677191/tumblr_navflwcOHi1qzwmsso1_1280.jpg	Stone and wood shack near Kemacher Peak in Innsbruck, Austria.	http://cabinporn.com/page/8
Dydiówka, Poland	http://cabinporn.com/image/96003186344	http://40.media.tumblr.com/5f3247b61dd474ca472d5996a5970d41/tumblr_nanwluXIFM1qzwmsso1_1280.jpg	A-frame in Dydiówka, Poland.	http://cabinporn.com/page/8
Berner Oberland, Bern, Switzerland.	http://atmoslab.ch	http://40.media.tumblr.com/b96ed2c3438e25ccb9071dc7508b7217/tumblr_n83g1cKAaU1qzwmsso1_1280.jpg	Stone cabin in Berner Oberland, Bern, Switzerland.	http://cabinporn.com/page/8
Gutin Mountains, Romania	http://cabinporn.com/image/95827249969	http://36.media.tumblr.com/f704a8da90f3ec53e48601f0f30be32f/tumblr_naq1lmhyhQ1qzwmsso1_1280.jpg	Hunting cabin in Gutin Mountains, Romania.	http://cabinporn.com/page/8
Valais, Switzerland	http://cabinporn.com/image/95737451669	http://40.media.tumblr.com/f7e1cc5308f24d53548fb2bfa3192a74/tumblr_naf7w5mzSQ1qzwmsso1_1280.jpg	Refuge de Bouquetins in Valais, Switzerland.	http://cabinporn.com/page/8
Isfjorden,	http://cabinporn.com/image/95463370000	http://40.media.tumblr.com/e5f15050801a1db94a952742b9429f8a/tumblr_na6qphr25r1qzwmsso1_1280.jpg	Cabin 800 miles from the North Pole on Isfjorden, Svalbard, Norway.	http://cabinporn.com/page/8
Holy Island, Northumbria, UK	http://cabinporn.com/image/95374523655	http://40.media.tumblr.com/5abb8bd2ba20db5b87b4da6faa4a340b/tumblr_na8krqJ0971qzwmsso1_1280.jpg	Refuge shelter on Holy Island, Northumbria, UK.	http://cabinporn.com/page/9
	http://cabinporn.com/image/95283622940	http://40.media.tumblr.com/7b1095b960b9b3bb486ce6f1e1298c91/tumblr_na94n7ubij1qzwmsso1_1280.jpg		http://cabinporn.com/page/9
Dartmoor National Park, Devon UK.	http://cabinporn.com/image/95193743116	http://40.media.tumblr.com/ab63669a0f2a68daa9c9ec27cb1bbc4c/tumblr_na9huzhYnW1qzwmsso1_1280.jpg	Hand-built tent in Dartmoor National Park, Devon UK.	http://cabinporn.com/page/9
Westland, New Zealand	http://cabinporn.com/image/95100486799	http://40.media.tumblr.com/ba5398ebf3a63144bc79fca7e839f9c6/tumblr_nadw4ajyj81qzwmsso1_1280.jpg	Mt. Brown Hut in Westland, New Zealand.	http://cabinporn.com/page/9
Poljšica, Slovenia	http://cabinporn.com/image/94864325765	http://40.media.tumblr.com/4d5e0090ca48fc96a95e5a57973dc776/tumblr_nacic0ZMly1qzwmsso1_1280.jpg	A-frame and family camp in Poljšica, Slovenia.	http://cabinporn.com/page/9
Finse, Norway	http://www.sindrer.tumblr.com	http://40.media.tumblr.com/e75a3e6911235a09bd02dfefd3ed0340/tumblr_n9ydtnzVW71qzwmsso1_1280.jpg	A cabin near Finse, Norway.	http://cabinporn.com/page/9
Sandhornoy, Norway	http://cabinporn.com/image/94727504130	http://40.media.tumblr.com/199e308adc659f5c134445cd7d42fbcc/tumblr_n8tor0aQMb1qzwmsso1_1280.jpg	Shelter in Sandhornoy, Norway. Created by students for the SALT-festival. 	http://cabinporn.com/page/9
Yulan, NY	http://cabinporn.com/image/94678942135	http://41.media.tumblr.com/1e0e5e5db513519f2e0f4e22005b3d2a/tumblr_na9uv9v3Zf1qd8hvko1_1280.jpg	The Beaver Brook Njalla in Yulan, NY.	http://cabinporn.com/page/9
Tyrol, Austria	http://cabinporn.com/image/94633552455	http://41.media.tumblr.com/b589dfad350be4cdbc7c880a18165a62/tumblr_n9ut6y5Qvw1qzwmsso1_1280.jpg	A hut above Sölden in the Ötztal Valley in Tyrol, Austria.	http://cabinporn.com/page/9
The Buckle Farm in Unity, Maine	http://cabinporn.com/image/94567105415	http://40.media.tumblr.com/a2ffeff412c0055ce42702ac49636a8c/tumblr_na2al65WTZ1qzwmsso1_1280.jpg	Outhouse at The Buckle Farm in Unity, Maine.Photograph by Hannah Hamilton	http://cabinporn.com/page/9
 Luchon peak, French Pyrenees	http://cabinporn.com/image/94557476225	http://41.media.tumblr.com/ba37974be10dddbbbd218f468e8e547a/tumblr_na7kwdHc9d1qzwmsso1_1280.jpg	Cabin on Luchon peak, French Pyrenees.	http://cabinporn.com/page/10
Anchorage,	http://cabinporn.com/image/94537169940	http://40.media.tumblr.com/2ffac3f38dd7f0bc8222ae227cda16dd/tumblr_n9w7jzoLHs1qzwmsso1_1280.jpg	A family-built hideout outside Anchorage, Alaska. 	http://cabinporn.com/page/10
České Budějovice, Czech Republic	http://cabinporn.com/image/94161751194	http://36.media.tumblr.com/123e6f575fb6c93f92a4c58c427b6fd3/tumblr_moors9Ias51qzwmsso1_1280.jpg	Getaway outside České Budějovice, Czech Republic.	http://cabinporn.com/page/10
Posey, California.	http://cabinporn.com/image/94069281645	http://40.media.tumblr.com/84b808da7b36aeb8fae2c189e892a448/tumblr_myhzzv5IHQ1qzwmsso1_1280.jpg	A-frame in Poso Park, Sequoia National Forest in Posey, California.	http://cabinporn.com/page/10
Eskişehir, Turkey	http://cabinporn.com/image/93877892951	http://40.media.tumblr.com/a0c5c75b6b35425f4b388e0db7f9ab89/tumblr_ms8d53h9iW1qzwmsso1_1280.jpg	Treehouse in the mountains near Eskişehir, Turkey.	http://cabinporn.com/page/10
Hautes-Pyrénées, France	http://cabinporn.com/image/93777513990	http://40.media.tumblr.com/fa0dcb7009336dfb820d245e1c18ec7a/tumblr_mvsoqnfqfY1qzwmsso1_1280.jpg	Earthen shelter near Lake Oule in Neouvielle National Nature Reserve, Hautes-Pyrénées, France.	http://cabinporn.com/page/10
Seward, Alaska	http://cabinporn.com/image/93502069692	http://41.media.tumblr.com/72c3f9bd369ba7df322401009953bba2/tumblr_n9lfdkEMun1qzwmsso1_1280.jpg	Riverside a-frame in Seward, Alaska.	http://cabinporn.com/page/10
Iceland	http://cabinporn.com/image/93311644979	http://41.media.tumblr.com/e297668e9cfb955461cc91658b8df8ca/tumblr_n7vnc5L1fo1qzwmsso1_1280.jpg	Alftavatn hut along the Laugavegurinn trail (aka “Hot Spring Route”) in Iceland.	http://cabinporn.com/page/11
Serpuhov, Russia	http://cabinporn.com/image/93214077008	http://40.media.tumblr.com/4991e4095a4371525d7a247a32beae18/tumblr_mxpi3i8aFn1qzwmsso1_1280.jpg	Geodesic dome in the woods near Serpuhov, Russia.	http://cabinporn.com/page/11
Plounéour-Ménez, Brittany, France	http://cabinporn.com/image/93133184070	http://40.media.tumblr.com/6dbc3b0a225ff8cc545e8d85195e7abf/tumblr_n9fiklALuY1qzwmsso1_1280.jpg	Geodesic dome near Plounéour-Ménez, Brittany, France.	http://cabinporn.com/page/11
Guysborough County, Nova Scotia, Canada	http://cabinporn.com/image/92841903275	http://40.media.tumblr.com/8da6c44d180e407e560fd7bb85189e0d/tumblr_n99t8982sa1qzwmsso1_1280.jpg	Greenhouse in Guysborough County, Nova Scotia, Canada.	http://cabinporn.com/page/11
Adyl Suu Valley, Northern Caucasus, Russia.	http://cabinporn.com/image/92833045944	http://40.media.tumblr.com/1fba0d3e0910518b55cbdf2a19739e85/tumblr_mozzjut8VZ1qzwmsso1_1280.jpg	Glaciologist’s cabin in the Adyl Suu Valley, Northern Caucasus, Russia.	http://cabinporn.com/page/11
Brekkestø, Norway	http://cabinporn.com/image/92637708211	http://41.media.tumblr.com/9087ca8b58067a5c583c7c1afb5094d3/tumblr_n8jlmxopzl1qzwmsso1_1280.jpg	Summer cabin in Brekkestø, Norway.	http://cabinporn.com/page/11
Seward, Alaska	http://cabinporn.com/image/92532596303	http://41.media.tumblr.com/140887985f070c72232932be6c850002/tumblr_n8vdnkMQ2A1qzwmsso1_1280.jpg	Mariner’s Lair at the Nauti Otter in Seward, Alaska.	http://cabinporn.com/page/11
Brixen im Thale, Austria	http://cabinporn.com/image/92431151102	http://41.media.tumblr.com/abdf6c18a83b4371816002fb827ae9e8/tumblr_n8p7r22wSv1qzwmsso1_1280.jpg	Backcountry cabin in Brixen im Thale, Austria.	http://cabinporn.com/page/11
Cradle Mountain, Lake St. Clair National Park, Tasmania	http://cabinporn.com/image/92145389548	http://41.media.tumblr.com/6e235bed0fa8ce887811f9e904e92047/tumblr_n8dyaam2ZR1qzwmsso1_1280.jpg	Kitchen Hut on Cradle Mountain, Lake St. Clair National Park, Tasmania.	http://cabinporn.com/page/12
Sauveur, Qu	http://cabinporn.com/image/92048517347	http://40.media.tumblr.com/2bedc14fe9198721cfa16db1c6339b67/tumblr_muawpm1A8o1qzwmsso1_1280.jpg	Cabin on a secluded lake near St-Sauveur, Québec, Canada.	http://cabinporn.com/page/12
Masatepe, Nicaragua	http://cabinporn.com/image/91948901227	http://40.media.tumblr.com/4182fff499cdb9b09324310fae389cd3/tumblr_n7lqqnxntR1qzwmsso1_1280.jpg	Cabin on an ecological reserve in Masatepe, Nicaragua.	http://cabinporn.com/page/12
Snæfellsnes, Iceland	http://cabinporn.com/image/91748519935	http://40.media.tumblr.com/d337c95adba47cc7f63670019549e2c7/tumblr_n89dqkJv6x1qzwmsso1_1280.jpg	A-frame near Snæfellsnes, Iceland. 	http://cabinporn.com/page/12
Cape Town, South Africa	http://cabinporn.com/image/91554490770	http://41.media.tumblr.com/1ce352738da432b3fe45ca044116330f/tumblr_n8jinrlR8S1qzwmsso1_1280.jpg	Mamacos Hut on Waaihoek Summit, Cape Town, South Africa.	http://cabinporn.com/page/12
Sierra Nevada Mountains, California	http://cabinporn.com/image/91467478165	http://40.media.tumblr.com/93b641226ac2c8d4692670f3c05b2e78/tumblr_n8ike49z2r1qzwmsso1_1280.jpg	Miners cabin in Sierra Nevada Mountains, California.	http://cabinporn.com/page/12
Alfred, New York	http://cabinporn.com/image/91453391635	http://41.media.tumblr.com/f48e7f3a562cd749406ab5cf435f8f37/tumblr_mh9n7vZJwR1qzwmsso1_1280.jpg	Cabin in Alfred, New York.	http://cabinporn.com/page/12
Garfield County, Utah	http://cabinporn.com/image/91353608195	http://41.media.tumblr.com/8e82bb615834fee7fb52b6b5c2e96e79/tumblr_myjhyfDFld1qzwmsso1_1280.jpg	Cabin in Garfield County, Utah.	http://cabinporn.com/page/12
Gold Hill, Colorado	http://cabinporn.com/image/91350293960	http://40.media.tumblr.com/56a3704f1e356bb5a7db8ef3f288741b/tumblr_n8hyrpZzRL1qzwmsso1_1280.jpg	Log cabin outside Gold Hill, Colorado.	http://cabinporn.com/page/12
Southern Lincoln County, Missouri	http://logbloghewn.blogspot.com/2014/03/finally-pulled-over.html	http://41.media.tumblr.com/fc806fc4e5cb373495ad1b767becbf54/tumblr_n2a2n3Hnnq1qzwmsso1_1280.jpg	Fixer-upper in Southern Lincoln County, Missouri.	http://cabinporn.com/page/12
White Sea, Russia	http://cabinporn.com/image/91205474550	http://40.media.tumblr.com/8f5219785ae38ee93875e26514f69c7d/tumblr_n8er4rcLKY1qzwmsso1_1280.jpg	Cabin far in the forests of White Sea, Russia.	http://cabinporn.com/page/13
Ala Archa National Park, Kyrgystan.	http://cabinporn.com/image/91149553934	http://41.media.tumblr.com/5ebf685fd2a77e80c83c1741839d69a2/tumblr_mr2bpsjxqg1qzwmsso1_1280.jpg	Ratsek Hut, Ala Archa National Park, Kyrgystan.	http://cabinporn.com/page/13
Canterbury, New Zealand	http://cabinporn.com/image/91046417937	http://41.media.tumblr.com/98deffb580cb8494e4c72e40f8449d34/tumblr_mt7ekyh4RO1qzwmsso1_1280.jpg	Cameron Hut, Canterbury, New Zealand.	http://cabinporn.com/page/13
