location	cabin url	image url	caption	lat	lng	cabin_page_url
Finse, Norway	http://www.sindrer.tumblr.com	http://40.media.tumblr.com/e75a3e6911235a09bd02dfefd3ed0340/tumblr_n9ydtnzVW71qzwmsso1_1280.jpg	A cabin near Finse, Norway.	60.60507399999999	7.504649	http://cabinporn.com/page/9
Sandhornøya, Gildeskål, Norway	http://cabinporn.com/image/94727504130	http://40.media.tumblr.com/199e308adc659f5c134445cd7d42fbcc/tumblr_n8tor0aQMb1qzwmsso1_1280.jpg	Shelter in Sandhornoy, Norway. Created by students for the SALT-festival. 	67.0741701	14.1463921	http://cabinporn.com/page/9
Yulan, NY 12719, USA	http://cabinporn.com/image/94678942135	http://41.media.tumblr.com/1e0e5e5db513519f2e0f4e22005b3d2a/tumblr_na9uv9v3Zf1qd8hvko1_1280.jpg	The Beaver Brook Njalla in Yulan, NY.	41.5225898	-74.9329444	http://cabinporn.com/page/9
Tyrol, Austria	http://cabinporn.com/image/94633552455	http://41.media.tumblr.com/b589dfad350be4cdbc7c880a18165a62/tumblr_n9ut6y5Qvw1qzwmsso1_1280.jpg	A hut above Sölden in the Ötztal Valley in Tyrol, Austria.	47.2537414	11.601487	http://cabinporn.com/page/9
Unity, ME, USA	http://cabinporn.com/image/94567105415	http://40.media.tumblr.com/a2ffeff412c0055ce42702ac49636a8c/tumblr_na2al65WTZ1qzwmsso1_1280.jpg	Outhouse at The Buckle Farm in Unity, Maine.Photograph by Hannah Hamilton	44.6111643	-69.3345032	http://cabinporn.com/page/9
	http://cabinporn.com/image/94557476225	http://41.media.tumblr.com/ba37974be10dddbbbd218f468e8e547a/tumblr_na7kwdHc9d1qzwmsso1_1280.jpg	Cabin on Luchon peak, French Pyrenees.			http://cabinporn.com/page/10
Anchorage, AK, USA	http://cabinporn.com/image/94537169940	http://40.media.tumblr.com/2ffac3f38dd7f0bc8222ae227cda16dd/tumblr_n9w7jzoLHs1qzwmsso1_1280.jpg	A family-built hideout outside Anchorage, Alaska. 	61.2180556	-149.9002778	http://cabinporn.com/page/10
Ceske Budejovice, Czech Republic	http://cabinporn.com/image/94161751194	http://36.media.tumblr.com/123e6f575fb6c93f92a4c58c427b6fd3/tumblr_moors9Ias51qzwmsso1_1280.jpg	Getaway outside České Budějovice, Czech Republic.	48.9756578	14.480255	http://cabinporn.com/page/10
Posey, CA 93260, USA	http://cabinporn.com/image/94069281645	http://40.media.tumblr.com/84b808da7b36aeb8fae2c189e892a448/tumblr_myhzzv5IHQ1qzwmsso1_1280.jpg	A-frame in Poso Park, Sequoia National Forest in Posey, California.	35.8046737	-118.6828662	http://cabinporn.com/page/10
Eskişehir/Eskişehir Province, Turkey	http://cabinporn.com/image/93877892951	http://40.media.tumblr.com/a0c5c75b6b35425f4b388e0db7f9ab89/tumblr_ms8d53h9iW1qzwmsso1_1280.jpg	Treehouse in the mountains near Eskişehir, Turkey.	39.776667	30.520556	http://cabinporn.com/page/10
Hautes-Pyrénées, France	http://cabinporn.com/image/93777513990	http://40.media.tumblr.com/fa0dcb7009336dfb820d245e1c18ec7a/tumblr_mvsoqnfqfY1qzwmsso1_1280.jpg	Earthen shelter near Lake Oule in Neouvielle National Nature Reserve, Hautes-Pyrénées, France.	43.0193924	0.1494988	http://cabinporn.com/page/10
Seward, AK 99664, USA	http://cabinporn.com/image/93502069692	http://41.media.tumblr.com/72c3f9bd369ba7df322401009953bba2/tumblr_n9lfdkEMun1qzwmsso1_1280.jpg	Riverside a-frame in Seward, Alaska.	60.10416669999999	-149.4422222	http://cabinporn.com/page/10
Iceland	http://cabinporn.com/image/93311644979	http://41.media.tumblr.com/e297668e9cfb955461cc91658b8df8ca/tumblr_n7vnc5L1fo1qzwmsso1_1280.jpg	Alftavatn hut along the Laugavegurinn trail (aka “Hot Spring Route”) in Iceland.	64.963051	-19.020835	http://cabinporn.com/page/11
